iterations,mean reward,pct full rollout,std reward
0,912.7498608344409,1.0,10.850118686323887
1,839.6744375216356,1.0,4.850699624216159
2,769.3516060484084,1.0,1.9859193696840816
3,695.5750579642607,1.0,1.6644615043214936
4,652.5468536373937,1.0,3.068638177751404
5,611.5993681316015,1.0,1.585537400067481
6,574.1499198102217,1.0,1.8767841976608113
7,542.7873909547434,1.0,2.5910185755386497
8,551.7108288403618,1.0,2.6437201966137587
9,523.8509305144673,1.0,3.1569818435753128
10,488.50505493061536,1.0,2.7512231146752444
11,483.7719235870971,1.0,2.3043207680004345
12,477.89506463933884,1.0,2.564392380740188
13,458.7316431872626,1.0,2.8884682126978185
14,454.49677890881657,1.0,2.4711156795393876
15,450.0276728603403,1.0,1.810888939152606
16,441.8168856414466,1.0,2.286853194030483
17,441.4412752490305,1.0,2.759209001448672
18,432.13833355259686,1.0,2.8176295125906567
19,427.8620674903212,1.0,2.0685981765718475
